id,name,field,truth_value,source_url,notes
21,Slack,auth_methods,oauth2,https://docs.slack.dev/,human-confirmed known fact
21,Slack,access,self_serve_free,https://docs.slack.dev/,human-confirmed known fact
21,Slack,api_type,rest,https://docs.slack.dev/,human-confirmed known fact
21,Slack,existing_mcp,official,https://docs.slack.dev/,human-confirmed known fact
21,Slack,webhooks,yes,https://docs.slack.dev/,human-confirmed known fact
21,Slack,verdict,ready,https://docs.slack.dev/,human-confirmed known fact
41,Shopify,auth_methods,"oauth2,api_key",https://shopify.dev,human-confirmed known fact
41,Shopify,access,self_serve_free,https://shopify.dev,human-confirmed known fact
41,Shopify,api_type,"rest,graphql",https://shopify.dev,human-confirmed known fact
41,Shopify,existing_mcp,official,https://shopify.dev,human-confirmed known fact
41,Shopify,webhooks,yes,https://shopify.dev,human-confirmed known fact
41,Shopify,verdict,ready,https://shopify.dev,human-confirmed known fact
61,GitHub,auth_methods,"oauth2,api_key",https://docs.github.com/rest,human-confirmed known fact
61,GitHub,access,self_serve_free,https://docs.github.com/rest,human-confirmed known fact
61,GitHub,api_type,"rest,graphql",https://docs.github.com/rest,human-confirmed known fact
61,GitHub,existing_mcp,official,https://docs.github.com/rest,human-confirmed known fact
61,GitHub,webhooks,yes,https://docs.github.com/rest,human-confirmed known fact
61,GitHub,verdict,ready,https://docs.github.com/rest,human-confirmed known fact
71,Notion,auth_methods,"oauth2,api_key",https://developers.notion.com,human-confirmed known fact
71,Notion,access,self_serve_free,https://developers.notion.com,human-confirmed known fact
71,Notion,api_type,rest,https://developers.notion.com,human-confirmed known fact
71,Notion,existing_mcp,official,https://developers.notion.com,human-confirmed known fact
71,Notion,webhooks,yes,https://developers.notion.com,human-confirmed known fact
71,Notion,verdict,ready,https://developers.notion.com,human-confirmed known fact
81,Stripe,auth_methods,api_key,https://docs.stripe.com/api,human-confirmed known fact
81,Stripe,access,self_serve_free,https://docs.stripe.com/api,human-confirmed known fact
81,Stripe,api_type,rest,https://docs.stripe.com/api,human-confirmed known fact
81,Stripe,existing_mcp,official,https://docs.stripe.com/api,human-confirmed known fact
81,Stripe,webhooks,yes,https://docs.stripe.com/api,human-confirmed known fact
81,Stripe,verdict,ready,https://docs.stripe.com/api,human-confirmed known fact
